Timestamp,¿Para qué tipo de empresa trabaja?,La empresa para la que usted trabaja se dedica principalmente a,¿Cuantos años de fundada tiene la empresa para la que trabaja?,¿Tiene usted título de fundador en la empresa?,¿Qué porcentaje de su tiempo laboral se ocupa en tareas relacionadas a desarrollo de software?,¿Qué porcentaje de su tiempo laboral se ocupa en gerencia de proyectos?,¿Qué porcentaje de su tiempo laboral se ocupa en liderazgo técnico?,¿Qué porcentaje de su tiempo laboral se ocupa en gerencia de ingenieria?,¿Cuánto tiempo lleva en su cargo actual (incluyendo freelance)?,¿Cuántos años de experiencia en desarrollo de software profesional tiene?,¿En cuál de los siguientes lenguajes de programación ocupa la mayoría de su tiempo laboral?,Tipo de relación laboral,¿Tiene titulo universitario o técnico?,¿Estudío alguna carrera de PREgrado relacionada a ingeniería de sistemas?,¿Estudío alguna carrera de POSTgrado relacionada a ingeniería de sistemas?,¿Tomó clases de programación o algorítmia en la universidad?,¿Cuál es su máximo titulo alcanzado (graduado)?,¿A usted le pagan en pesos colombianos (COP) o dólares (USD)?,¿Cuanto es su salario ANUAL?,¿Cuanto era el salario ANUAL de su trabajo anterior?,¿Quién paga su seguro de salud?,¿Quién paga sus pensiones y cesantias?,"Si tiene acciones (opciones) en la empresa, que porcentaje de participación tiene",¿Trabaja usted en proyectos freelance a pesar de tener trabajo tiempo completo?,¿Cuanto fue el total de sus ingresos adicionales de proyectos freelance el año pasado?,¿Siente que su salario es justo?,¿Cuantos años tiene?,¿Con cual pronombre prefiere que se refieran a usted?,¿Cuál es su nivel de inglés para realizar conversaciones técnicas sobre software?,¿Se considera usted parte de una minoría racial o étnica?,¿Cuantos hijos tiene?,¿En que ciudad de Colombia vive?
2016-01-13T13:19:53Z,empresa extranjera,consultoría y servicios de desarrollo de software a la medida,5 - 10,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,3 - 5 años,3 - 5 años,JavaScript,empleado,universitario,si,no,si,pregrado,pesos,3800000,2100000,mi empleador,mi empleador,no tengo,si,1000000,si,34,ella,intermedio,no,0,Envigado
2016-01-13T13:21:44Z,empresa Colombiana con mercado Colombiano,consultoría y servicios de desarrollo de software a la medida,más de 10,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,menos de 1 año,3 - 5 años,PHP,empleado,universitario,si,no,si,pregrado,pesos,36800000,26500000,mi empleador,mi empleador,no tengo,no,0,si,29,el,intermedio,no,0,Medellín
2016-01-13T13:23:37Z,empresa Colombiana con mercado EEUU,consultoría y servicios de desarrollo de software a la medida,2 - 5,no,90 - 100%,no tengo responsabilidades de este tipo,0 - 10%,no tengo responsabilidades gerenciales,1 año,3 - 5 años,Java,empleado,universitario,si,no,si,pregrado,pesos,28000000,19000000,mi empleador,mi empleador,no tengo,no,0,no,27,el,avanzado,no,0,Cali
2016-01-13T13:25:39Z,empresa extranjera,"servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",5 - 10,no,90 - 100%,no tengo responsabilidades de este tipo,0 - 10%,no tengo responsabilidades gerenciales,2 años,2 años,JavaScript,contratista,ningúno,si,no,si,bachiller,pesos,36000000,14400000,yo,yo,no tengo,no,0,si,21,el,intermedio,no,0,Medellín
2016-01-13T13:26:41Z,empresa Colombiana con mercado Colombiano,consultoría y servicios de desarrollo de software a la medida,2 - 5,si,20 - 30%,20 - 30%,40 - 50%,no tengo responsabilidades gerenciales,3 - 5 años,10 - 15 años,Java,empleado,universitario,si,si,si,post-doctorado,pesos,4000000,3000000,mi empleador,mi empleador,mas de 20%,no,0,no,33,el,intermedio,no,1,Bogotá
2016-01-13T13:30:15Z,empresa Colombiana con mercado Colombiano,"servicio no tecnológico (banca, seguros, contabilidad, etc)",más de 10,no,70 - 80%,10 - 20%,60 - 70%,no tengo responsabilidades gerenciales,2 años,5 - 10 años,C#,empleado,universitario,si,no,si,pregrado,pesos,36000000,30000000,mi empleador,mi empleador,no tengo,no,0,no,31,el,intermedio,Afrocolombiano o Afrodescendiente,1,Medellín
2016-01-13T13:31:42Z,empresa Colombiana con mercado global,"servicio no tecnológico (banca, seguros, contabilidad, etc)",más de 10,no,10 - 20%,80 - 90%,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,2 años,3 - 5 años,SQL,empleado,universitario,si,no,si,pregrado,pesos,25000000,10000000,mi empleador,mi empleador,no tengo,no,0,no,26,Ing.,avanzado,no,0,Cali
2016-01-13T13:31:53Z,empresa Colombiana con mercado Colombiano,"servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",2 - 5,no,90 - 100%,0 - 10%,10 - 20%,no tengo responsabilidades gerenciales,menos de 1 año,más de 15 años,C#,empleado,técnico,si,no,si,pregrado,pesos,52000000,20000000,mi empleador,mi empleador,no tengo,si,5000000,no,49,el,intermedio,no,5,Bogotá
2016-01-13T13:32:13Z,empresa extranjera,consultoría y servicios de desarrollo de software a la medida,5 - 10,no,90 - 100%,0 - 10%,30 - 40%,no tengo responsabilidades gerenciales,2 años,3 - 5 años,JavaScript,contratista,universitario,si,no,si,pregrado,dolares,25000000,18000000,yo,yo,no tengo,si,2000000,no,27,el,intermedio,no,0,Manizales
2016-01-13T13:33:03Z,empresa Colombiana con mercado Colombiano,consultoría y servicios de desarrollo de software a la medida,más de 10,no,50 - 60%,no tengo responsabilidades de este tipo,30 - 40%,no tengo responsabilidades gerenciales,1 año,5 - 10 años,Objective-C,empleado,universitario,si,no,si,pregrado,pesos,96000000,65000000,mi empleador,mi empleador,no tengo,no,0,no,29,el,avanzado,no,0,Medellín
