Timestamp,¿Para qué tipo de empresa trabaja?,La empresa para la que usted trabaja se dedica principalmente a,¿Cuantos años de fundada tiene la empresa para la que trabaja?,¿Tiene usted título de fundador en la empresa?,¿Qué porcentaje de su tiempo laboral se ocupa en tareas relacionadas a desarrollo de software?,¿Qué porcentaje de su tiempo laboral se ocupa en gerencia de proyectos?,¿Qué porcentaje de su tiempo laboral se ocupa en liderazgo técnico?,¿Qué porcentaje de su tiempo laboral se ocupa en gerencia de ingenieria?,¿Cuánto tiempo lleva en su cargo actual (incluyendo freelance)?,¿Cuántos años de experiencia en desarrollo de software profesional tiene?,¿En cuál de los siguientes lenguajes de programación ocupa la mayoría de su tiempo laboral?,Tipo de relación laboral,¿Tiene titulo universitario o técnico?,¿Estudío alguna carrera de PREgrado relacionada a ingeniería de sistemas?,¿Estudío alguna carrera de POSTgrado relacionada a ingeniería de sistemas?,¿Tomó clases de programación o algorítmia en la universidad?,¿Cuál es su máximo titulo alcanzado (graduado)?,¿A usted le pagan en pesos colombianos (COP) o dólares (USD)?,¿Cuanto es su salario ANUAL?,¿Cuanto era el salario ANUAL de su trabajo anterior?,¿Quién paga su seguro de salud?,¿Quién paga sus pensiones y cesantias?,"Si tiene acciones (opciones) en la empresa, que porcentaje de participación tiene",¿Trabaja usted en proyectos freelance a pesar de tener trabajo tiempo completo?,¿Cuanto fue el total de sus ingresos adicionales de proyectos freelance el año pasado?,¿Siente que su salario es justo?,¿Cuantos años tiene?,¿Con cual pronombre prefiere que se refieran a usted?,¿Cuál es su nivel de inglés para realizar conversaciones técnicas sobre software?,¿Se considera usted parte de una minoría racial o étnica?,¿Cuantos hijos tiene?,¿En que ciudad de Colombia vive?
1/13/2016 20:30:56,empresa extranjera,consultoría y servicios de desarrollo de software a la medida,2 - 5,no,80 - 90%,0 - 10%,90 - 100%,no tengo responsabilidades gerenciales,menos de 1 año,3 - 5 años,Objective-C,freelance,universitario,si,si,si,maestria,dolares,"$80,000.00","$25,000.00",yo,yo,no tengo,no,20000,si,31,el,avanzado,no,0,Bogota 
1/13/2016 20:35:37,empresa Colombiana con mercado Colombiano,consultoría y servicios de desarrollo de software a la medida,5 - 10,no,90 - 100%,no tengo responsabilidades de este tipo,20 - 30%,no tengo responsabilidades gerenciales,2 años,5 - 10 años,C#,empleado,universitario,si,no,si,pregrado,pesos,"$14,000,000.00","$25,000,000.00",mi empleador,mi empleador,no tengo,si,5000000,no,27,el,intermedio,no,1,Manizales
1/13/2016 20:39:30,empresa Colombiana con mercado Colombiano,consultoría y servicios de desarrollo de software a la medida,más de 10,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,menos de 1 año,3 - 5 años,C#,empleado,universitario,si,no,si,pregrado,pesos,"$30,000,000.00","$19,200,000.00",mi empleador,mi empleador,no tengo,no,0,si,30,el,básico,no,0,Medellín
1/13/2016 20:40:14,empresa extranjera,consultoría y servicios de desarrollo de software a la medida,más de 10,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,menos de 1 año,menos de 1 año,JavaScript,empleado,universitario,si,no,si,pregrado,pesos,"$30,000,000.00",$0.00,mi empleador,mi empleador,no tengo,no,0,si,26,el,intermedio,no,0,Medellin
1/13/2016 20:41:17,soy independiente (freelance),soy independiente,soy independiente,no,80 - 90%,0 - 10%,60 - 70%,no tengo responsabilidades gerenciales,menos de 1 año,10 - 15 años,C#,freelance,universitario,si,si,si,pregrado,pesos,"$72,000,000.00","$60,000,000.00",yo,yo,no tengo,soy independiente,0,si,35,el,intermedio,no,1,Medellín
1/13/2016 20:45:26,empresa Colombiana con mercado EEUU,consultoría y servicios de desarrollo de software a la medida,5 - 10,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,menos de 1 año,3 - 5 años,Ruby,empleado,universitario,si,si,si,pregrado,pesos,"$52,000,000.00","$39,000,000.00",mi empleador,mi empleador,no tengo,no,0,si,39,el,intermedio,no,0,Medellin
1/13/2016 20:53:47,empresa Colombiana con mercado EEUU,consultoría y servicios de desarrollo de software a la medida,2 - 5,si,20 - 30%,30 - 40%,no tengo responsabilidades de liderazgo técnico,20 - 30%,3 - 5 años,5 - 10 años,PHP,contratista,universitario,si,no,si,pregrado,pesos,"$45,000,000.00","$26,000,000.00",yo,yo,mas de 20%,no,0,si,33,el,básico,no,1,Armenia
1/13/2016 20:57:32,empresa Colombiana con mercado global,consultoría y servicios de desarrollo de software a la medida,más de 10,no,90 - 100%,no tengo responsabilidades de este tipo,30 - 40%,no tengo responsabilidades gerenciales,10 - 15 años,10 - 15 años,C#,empleado,universitario,si,no,si,pregrado,pesos,"$6,000,000.00","$40,800,000.00",mi empleador,mi empleador,no tengo,no,0,si,34,ella,avanzado,no,0,Medellín 
1/13/2016 20:59:04,empresa extranjera,consultoría y servicios de desarrollo de software a la medida,5 - 10,no,10 - 20%,no tengo responsabilidades de este tipo,30 - 40%,no tengo responsabilidades gerenciales,1 año,5 - 10 años,Java,empleado,universitario,si,no,si,pregrado,pesos,"$76,000,000.00","$68,000,000.00",mi empleador,mi empleador,no tengo,si,0,si,31,el,intermedio,no,0,Bogotá
1/13/2016 21:01:23,empresa Colombiana con mercado global,"servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",2 - 5,no,70 - 80%,10 - 20%,10 - 20%,no tengo responsabilidades gerenciales,3 - 5 años,5 - 10 años,Java,empleado,universitario,si,no,si,pregrado,pesos,"$44,000,000.00","$32,000,000.00",mi empleador,mi empleador,no tengo,si,15000000,no,37,el,avanzado,no,1,Barranquilla
1/13/2016 21:11:17,empresa Colombiana con mercado Colombiano,"servicio no tecnológico (banca, seguros, contabilidad, etc)",más de 10,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,2 años,2 años,C#,empleado,universitario,si,no,si,pregrado,pesos,"$18,000,000.00","$18,000,000.00",mi empleador,mi empleador,no tengo,no,0,no,23,el,básico,no,0,Barranquilla
